year,state_abbr,state,stratification_category,stratification,obesity_pct,no_leisure_activity_pct,low_fruit_consumption_pct
2017,DC,District of Columbia,Age (years),35 - 44,23.9,19.7,27.2
2017,DC,District of Columbia,Age (years),45 - 54,27.6,20.6,29.0
2017,DC,District of Columbia,Age (years),55 - 64,31.7,26.7,32.8
2017,DC,District of Columbia,Age (years),65 or older,24.2,28.7,23.5
2017,DC,District of Columbia,Education,College graduate,15.3,11.1,26.5
2017,DC,District of Columbia,Education,High school graduate,32.8,34.8,33.7
2017,DC,District of Columbia,Education,Less than high school,34.8,45.0,45.7
2017,DC,District of Columbia,Education,Some college or technical school,28.2,32.8,32.4
2017,DC,District of Columbia,Income,"$15,000 - $24,999",33.0,28.9,29.8
2017,DC,District of Columbia,Income,"$25,000 - $34,999",39.0,41.5,39.3
2017,DC,District of Columbia,Income,"$35,000 - $49,999",29.8,33.4,33.1
2017,DC,District of Columbia,Income,"$50,000 - $74,999",20.9,23.6,30.7
2017,DC,District of Columbia,Income,"$75,000 or greater",14.6,11.4,25.9
2017,DC,District of Columbia,Income,Data not reported,23.5,28.1,31.6
2017,DC,District of Columbia,Income,"Less than $15,000",35.3,35.3,45.5
2017,DC,District of Columbia,Race/Ethnicity,Hispanic,19.2,32.3,33.3
2017,DC,District of Columbia,Race/Ethnicity,Non-Hispanic 2 or more races,23.2,16.4,38.8
2017,DC,District of Columbia,Race/Ethnicity,Non-Hispanic Asian,2.4,20.2,20.6
2017,DC,District of Columbia,Race/Ethnicity,Non-Hispanic Black,36.0,32.5,35.8
2017,DC,District of Columbia,Race/Ethnicity,Non-Hispanic Other,17.9,15.2,27.6
2017,DC,District of Columbia,Race/Ethnicity,Non-Hispanic White,12.2,12.1,26.1
2017,DC,District of Columbia,Sex,Female,27.2,25.1,28.7
2017,DC,District of Columbia,Sex,Male,18.4,20.6,32.9
2017,DC,District of Columbia,Total,Total,23.0,23.0,30.6
2017,DE,Delaware,Age (years),18 - 24,15.5,29.3,35.9
2017,DE,Delaware,Age (years),25 - 34,27.4,28.2,38.3
2017,DE,Delaware,Age (years),35 - 44,35.7,25.0,31.8
2017,DE,Delaware,Age (years),45 - 54,34.6,29.3,37.4
2017,DE,Delaware,Age (years),55 - 64,37.4,33.8,39.2
2017,DE,Delaware,Age (years),65 or older,33.9,36.5,31.0
2017,DE,Delaware,Education,College graduate,27.9,19.6,27.9
2017,DE,Delaware,Education,High school graduate,35.3,38.1,39.2
2017,DE,Delaware,Education,Less than high school,35.2,38.8,38.2
2017,DE,Delaware,Education,Some college or technical school,31.1,31.4,37.8
